"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"05/01/2024 06:00 - 05/01/2024 07:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","91.20"," ","Deficit","Final"
"05/01/2024 07:00 - 05/01/2024 08:00","SCA|DK2","150.00"," "," "," ","150.00"," "," "," "," ","94.60"," ","Surplus","Final"
"05/01/2024 08:00 - 05/01/2024 09:00","SCA|DK2","150.00"," "," "," ","150.00"," "," "," "," ","201.40"," ","Surplus","Final"
"05/01/2024 09:00 - 05/01/2024 10:00","SCA|DK2","150.00"," "," "," ","150.00"," "," "," "," ","467.60"," ","Surplus","Final"
"05/01/2024 10:00 - 05/01/2024 11:00","SCA|DK2","211.51"," "," "," ","211.51"," "," "," "," ","155.40"," ","Surplus","Final"
"05/01/2024 11:00 - 05/01/2024 12:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","62.50"," ","Deficit","Final"
"05/01/2024 12:00 - 05/01/2024 13:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","126.10"," ","Deficit","Final"
"05/01/2024 13:00 - 05/01/2024 14:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","130.10"," ","Deficit","Final"
"05/01/2024 14:00 - 05/01/2024 15:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","95.30"," ","Surplus","Final"
"05/01/2024 15:00 - 05/01/2024 16:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","154.80"," ","Surplus","Final"
"05/01/2024 16:00 - 05/01/2024 17:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","143.60"," ","Surplus","Final"
"05/01/2024 17:00 - 05/01/2024 18:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","58.00"," ","Deficit","Final"
"05/01/2024 18:00 - 05/01/2024 19:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","17.10"," ","Deficit","Final"
"05/01/2024 19:00 - 05/01/2024 20:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","25.20"," ","Surplus","Final"
"05/01/2024 20:00 - 05/01/2024 21:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","145.40"," ","Surplus","Final"
"05/01/2024 21:00 - 05/01/2024 22:00","SCA|DK2","98.60"," "," "," ","98.60"," "," "," "," ","78.60"," ","Surplus","Final"
"05/01/2024 22:00 - 05/01/2024 23:00","SCA|DK2","92.87"," "," "," ","92.87"," "," "," "," ","92.40"," ","Surplus","Final"
"05/01/2024 23:00 - 06/01/2024 00:00","SCA|DK2","103.47"," "," "," ","103.47"," "," "," "," ","177.10"," ","Surplus","Final"
"06/01/2024 00:00 - 06/01/2024 01:00","SCA|DK2","95.00"," "," "," ","95.00"," "," "," "," ","81.60"," ","Surplus","Final"
"06/01/2024 01:00 - 06/01/2024 02:00","SCA|DK2","94.33"," "," "," ","94.33"," "," "," "," ","190.80"," ","Surplus","Final"
"06/01/2024 02:00 - 06/01/2024 03:00","SCA|DK2","93.00"," "," "," ","93.00"," "," "," "," ","185.50"," ","Surplus","Final"
"06/01/2024 03:00 - 06/01/2024 04:00","SCA|DK2","92.70"," "," "," ","92.70"," "," "," "," ","96.10"," ","Surplus","Final"
"06/01/2024 04:00 - 06/01/2024 05:00","SCA|DK2","86.50"," "," "," ","86.50"," "," "," "," ","107.90"," ","Surplus","Final"
"06/01/2024 05:00 - 06/01/2024 06:00","SCA|DK2","86.50"," "," "," ","86.50"," "," "," "," ","27.70"," ","Deficit","Final"
"06/01/2024 06:00 - 06/01/2024 07:00","SCA|DK2","87.43"," "," "," ","87.43"," "," "," "," ","16.90"," ","Deficit","Final"
"06/01/2024 07:00 - 06/01/2024 08:00","SCA|DK2","90.87"," "," "," ","90.87"," "," "," "," ","276.70"," ","Deficit","Final"
"06/01/2024 08:00 - 06/01/2024 09:00","SCA|DK2","82.00"," "," "," ","82.00"," "," "," "," ","242.00"," ","Deficit","Final"
"06/01/2024 09:00 - 06/01/2024 10:00","SCA|DK2","82.00"," "," "," ","82.00"," "," "," "," ","117.70"," ","Deficit","Final"
"06/01/2024 10:00 - 06/01/2024 11:00","SCA|DK2","105.00"," "," "," ","105.00"," "," "," "," ","91.10"," ","Surplus","Final"
"06/01/2024 11:00 - 06/01/2024 12:00","SCA|DK2","104.00"," "," "," ","104.00"," "," "," "," ","179.10"," ","Deficit","Final"
"06/01/2024 12:00 - 06/01/2024 13:00","SCA|DK2","98.00"," "," "," ","98.00"," "," "," "," ","278.00"," ","Deficit","Final"
"06/01/2024 13:00 - 06/01/2024 14:00","SCA|DK2","96.00"," "," "," ","96.00"," "," "," "," ","326.60"," ","Deficit","Final"
"06/01/2024 14:00 - 06/01/2024 15:00","SCA|DK2","98.50"," "," "," ","98.50"," "," "," "," ","332.50"," ","Deficit","Final"
"06/01/2024 15:00 - 06/01/2024 16:00","SCA|DK2","110.00"," "," "," ","110.00"," "," "," "," ","238.90"," ","Deficit","Final"
"06/01/2024 16:00 - 06/01/2024 17:00","SCA|DK2","120.00"," "," "," ","120.00"," "," "," "," ","164.10"," ","Deficit","Final"
"06/01/2024 17:00 - 06/01/2024 18:00","SCA|DK2","119.00"," "," "," ","119.00"," "," "," "," ","211.70"," ","Deficit","Final"
"06/01/2024 18:00 - 06/01/2024 19:00","SCA|DK2","119.00"," "," "," ","119.00"," "," "," "," ","366.30"," ","Deficit","Final"
"06/01/2024 19:00 - 06/01/2024 20:00","SCA|DK2","104.00"," "," "," ","104.00"," "," "," "," ","168.10"," ","Deficit","Final"
"06/01/2024 20:00 - 06/01/2024 21:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","295.00"," ","Deficit","Final"
"06/01/2024 21:00 - 06/01/2024 22:00","SCA|DK2","89.34"," "," "," ","89.34"," "," "," "," ","378.10"," ","Deficit","Final"
"06/01/2024 22:00 - 06/01/2024 23:00","SCA|DK2","82.80"," "," "," ","82.80"," "," "," "," ","370.90"," ","Deficit","Final"
"06/01/2024 23:00 - 07/01/2024 00:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","211.50"," ","Deficit","Final"
"07/01/2024 00:00 - 07/01/2024 01:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","158.30"," ","Deficit","Final"
"07/01/2024 01:00 - 07/01/2024 02:00","SCA|DK2","96.00"," "," "," ","96.00"," "," "," "," ","229.70"," ","Deficit","Final"
"07/01/2024 02:00 - 07/01/2024 03:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","296.10"," ","Deficit","Final"
"07/01/2024 03:00 - 07/01/2024 04:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","247.70"," ","Deficit","Final"
"07/01/2024 04:00 - 07/01/2024 05:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","59.90"," ","Surplus","Final"
"07/01/2024 05:00 - 07/01/2024 06:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","145.70"," ","Deficit","Final"
"07/01/2024 06:00 - 07/01/2024 07:00","SCA|DK2","90.00"," "," "," ","90.00"," "," "," "," ","283.70"," ","Deficit","Final"
"07/01/2024 07:00 - 07/01/2024 08:00","SCA|DK2","85.00"," "," "," ","85.00"," "," "," "," ","551.20"," ","Deficit","Final"
"07/01/2024 08:00 - 07/01/2024 09:00","SCA|DK2","90.00"," "," "," ","90.00"," "," "," "," ","436.90"," ","Deficit","Final"
"07/01/2024 09:00 - 07/01/2024 10:00","SCA|DK2","102.00"," "," "," ","102.00"," "," "," "," ","135.20"," ","Deficit","Final"
"07/01/2024 10:00 - 07/01/2024 11:00","SCA|DK2","102.00"," "," "," ","102.00"," "," "," "," ","103.30"," ","Deficit","Final"
"07/01/2024 11:00 - 07/01/2024 12:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","225.70"," ","Deficit","Final"
"07/01/2024 12:00 - 07/01/2024 13:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","20.20"," ","Deficit","Final"
"07/01/2024 13:00 - 07/01/2024 14:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","193.60"," ","Deficit","Final"
"07/01/2024 14:00 - 07/01/2024 15:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","283.90"," ","Deficit","Final"
"07/01/2024 15:00 - 07/01/2024 16:00","SCA|DK2","100.00"," "," "," ","100.00"," "," "," "," ","475.70"," ","Deficit","Final"
