"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"16/12/2024 08:00 - 16/12/2024 09:00","SCA|DK2","32.95"," "," "," ","32.95"," "," "," "," ","311.50"," ","Surplus","Final"
"16/12/2024 09:00 - 16/12/2024 10:00","SCA|DK2","23.50"," "," "," ","23.50"," "," "," "," ","150.70"," ","Surplus","Final"
"16/12/2024 10:00 - 16/12/2024 11:00","SCA|DK2","23.50"," "," "," ","23.50"," "," "," "," ","264.10"," ","Surplus","Final"
"16/12/2024 11:00 - 16/12/2024 12:00","SCA|DK2","23.50"," "," "," ","23.50"," "," "," "," ","97.90"," ","Deficit","Final"
"16/12/2024 12:00 - 16/12/2024 13:00","SCA|DK2","23.50"," "," "," ","23.50"," "," "," "," ","25.80"," ","Surplus","Final"
"16/12/2024 13:00 - 16/12/2024 14:00","SCA|DK2","23.00"," "," "," ","23.00"," "," "," "," ","215.00"," ","Surplus","Final"
"16/12/2024 14:00 - 16/12/2024 15:00","SCA|DK2","36.09"," "," "," ","36.09"," "," "," "," ","82.60"," ","Surplus","Final"
"16/12/2024 15:00 - 16/12/2024 16:00","SCA|DK2","35.13"," "," "," ","35.13"," "," "," "," ","283.90"," ","Surplus","Final"
"16/12/2024 16:00 - 16/12/2024 17:00","SCA|DK2","34.00"," "," "," ","34.00"," "," "," "," ","1.80"," ","Surplus","Final"
"16/12/2024 17:00 - 16/12/2024 18:00","SCA|DK2","34.74"," "," "," ","34.74"," "," "," "," ","445.60"," ","Surplus","Final"
"16/12/2024 18:00 - 16/12/2024 19:00","SCA|DK2","29.70"," "," "," ","29.70"," "," "," "," ","218.60"," ","Surplus","Final"
"16/12/2024 19:00 - 16/12/2024 20:00","SCA|DK2","26.83"," "," "," ","26.83"," "," "," "," ","167.70"," ","Surplus","Final"
"16/12/2024 20:00 - 16/12/2024 21:00","SCA|DK2","22.35"," "," "," ","22.35"," "," "," "," ","135.00"," ","Deficit","Final"
"16/12/2024 21:00 - 16/12/2024 22:00","SCA|DK2","31.00"," "," "," ","31.00"," "," "," "," ","111.40"," ","Deficit","Final"
"16/12/2024 22:00 - 16/12/2024 23:00","SCA|DK2","27.50"," "," "," ","27.50"," "," "," "," ","101.90"," ","Deficit","Final"
"16/12/2024 23:00 - 17/12/2024 00:00","SCA|DK2","34.79"," "," "," ","34.79"," "," "," "," ","231.00"," ","Deficit","Final"
"17/12/2024 00:00 - 17/12/2024 01:00","SCA|DK2","26.00"," "," "," ","26.00"," "," "," "," ","121.50"," ","Deficit","Final"
"17/12/2024 01:00 - 17/12/2024 02:00","SCA|DK2","25.50"," "," "," ","25.50"," "," "," "," ","215.30"," ","Deficit","Final"
"17/12/2024 02:00 - 17/12/2024 03:00","SCA|DK2","21.30"," "," "," ","21.30"," "," "," "," ","178.40"," ","Deficit","Final"
"17/12/2024 03:00 - 17/12/2024 04:00","SCA|DK2","22.93"," "," "," ","22.93"," "," "," "," ","134.20"," ","Deficit","Final"
"17/12/2024 04:00 - 17/12/2024 05:00","SCA|DK2","26.50"," "," "," ","26.50"," "," "," "," ","61.50"," ","Deficit","Final"
"17/12/2024 05:00 - 17/12/2024 06:00","SCA|DK2","36.00"," "," "," ","36.00"," "," "," "," ","217.20"," ","Surplus","Final"
"17/12/2024 06:00 - 17/12/2024 07:00","SCA|DK2","44.83"," "," "," ","44.83"," "," "," "," ","23.50"," ","Surplus","Final"
"17/12/2024 07:00 - 17/12/2024 08:00","SCA|DK2","53.15"," "," "," ","53.15"," "," "," "," ","1.90"," ","Deficit","Final"
"17/12/2024 08:00 - 17/12/2024 09:00","SCA|DK2","56.45"," "," "," ","56.45"," "," "," "," ","10.40"," ","Surplus","Final"
"17/12/2024 09:00 - 17/12/2024 10:00","SCA|DK2","53.01"," "," "," ","53.01"," "," "," "," ","69.20"," ","Deficit","Final"
"17/12/2024 10:00 - 17/12/2024 11:00","SCA|DK2","51.18"," "," "," ","51.18"," "," "," "," ","17.20"," ","Deficit","Final"
"17/12/2024 11:00 - 17/12/2024 12:00","SCA|DK2","60.77"," "," "," ","60.77"," "," "," "," ","55.20"," ","Surplus","Final"
"17/12/2024 12:00 - 17/12/2024 13:00","SCA|DK2","44.66"," "," "," ","44.66"," "," "," "," ","35.50"," ","Deficit","Final"
"17/12/2024 13:00 - 17/12/2024 14:00","SCA|DK2","85.93"," "," "," ","85.93"," "," "," "," ","107.50"," ","Surplus","Final"
"17/12/2024 14:00 - 17/12/2024 15:00","SCA|DK2","107.40"," "," "," ","107.40"," "," "," "," ","50.00"," ","Surplus","Final"
"17/12/2024 15:00 - 17/12/2024 16:00","SCA|DK2","112.55"," "," "," ","112.55"," "," "," "," ","34.50"," ","Deficit","Final"
"17/12/2024 16:00 - 17/12/2024 17:00","SCA|DK2","127.36"," "," "," ","127.36"," "," "," "," ","145.00"," ","Deficit","Final"
"17/12/2024 17:00 - 17/12/2024 18:00","SCA|DK2","121.65"," "," "," ","121.65"," "," "," "," ","241.90"," ","Deficit","Final"
"17/12/2024 18:00 - 17/12/2024 19:00","SCA|DK2","108.14"," "," "," ","108.14"," "," "," "," ","135.20"," ","Deficit","Final"
"17/12/2024 19:00 - 17/12/2024 20:00","SCA|DK2","98.52"," "," "," ","98.52"," "," "," "," ","165.10"," ","Deficit","Final"
"17/12/2024 20:00 - 17/12/2024 21:00","SCA|DK2","95.86"," "," "," ","95.86"," "," "," "," ","101.50"," ","Deficit","Final"
"17/12/2024 21:00 - 17/12/2024 22:00","SCA|DK2","80.50"," "," "," ","80.50"," "," "," "," ","170.50"," ","Deficit","Final"
"17/12/2024 22:00 - 17/12/2024 23:00","SCA|DK2","39.76"," "," "," ","39.76"," "," "," "," ","285.70"," ","Deficit","Final"
"17/12/2024 23:00 - 18/12/2024 00:00","SCA|DK2","41.87"," "," "," ","41.87"," "," "," "," ","43.00"," ","Surplus","Final"
"18/12/2024 00:00 - 18/12/2024 01:00","SCA|DK2","31.54"," "," "," ","31.54"," "," "," "," ","88.10"," ","Deficit","Final"
"18/12/2024 01:00 - 18/12/2024 02:00","SCA|DK2","19.22"," "," "," ","19.22"," "," "," "," ","253.00"," ","Deficit","Final"
"18/12/2024 02:00 - 18/12/2024 03:00","SCA|DK2","18.00"," "," "," ","18.00"," "," "," "," ","450.90"," ","Deficit","Final"
"18/12/2024 03:00 - 18/12/2024 04:00","SCA|DK2","15.00"," "," "," ","15.00"," "," "," "," ","322.80"," ","Deficit","Final"
"18/12/2024 04:00 - 18/12/2024 05:00","SCA|DK2","15.00"," "," "," ","15.00"," "," "," "," ","301.40"," ","Deficit","Final"
"18/12/2024 05:00 - 18/12/2024 06:00","SCA|DK2","17.00"," "," "," ","17.00"," "," "," "," ","275.10"," ","Deficit","Final"
"18/12/2024 06:00 - 18/12/2024 07:00","SCA|DK2","26.81"," "," "," ","26.81"," "," "," "," ","36.30"," ","Deficit","Final"
"18/12/2024 07:00 - 18/12/2024 08:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","62.90"," ","Surplus","Final"
"18/12/2024 08:00 - 18/12/2024 09:00","SCA|DK2","26.81"," "," "," ","26.81"," "," "," "," ","109.10"," ","Surplus","Final"
"18/12/2024 09:00 - 18/12/2024 10:00","SCA|DK2","26.82"," "," "," ","26.82"," "," "," "," ","253.90"," ","Surplus","Final"
"18/12/2024 10:00 - 18/12/2024 11:00","SCA|DK2","26.82"," "," "," ","26.82"," "," "," "," ","75.00"," ","Surplus","Final"
"18/12/2024 11:00 - 18/12/2024 12:00","SCA|DK2","35.89"," "," "," ","35.89"," "," "," "," ","282.90"," ","Surplus","Final"
"18/12/2024 12:00 - 18/12/2024 13:00","SCA|DK2","24.50"," "," "," ","24.50"," "," "," "," ","123.10"," ","Surplus","Final"
"18/12/2024 13:00 - 18/12/2024 14:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","1.60"," ","Surplus","Final"
"18/12/2024 14:00 - 18/12/2024 15:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","34.00"," ","Surplus","Final"
"18/12/2024 15:00 - 18/12/2024 16:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","9.80"," ","Deficit","Final"
"18/12/2024 16:00 - 18/12/2024 17:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","203.30"," ","Deficit","Final"
"18/12/2024 17:00 - 18/12/2024 18:00","SCA|DK2","18.50"," "," "," ","18.50"," "," "," "," ","61.50"," ","Deficit","Final"
"18/12/2024 18:00 - 18/12/2024 19:00","SCA|DK2","16.50"," "," "," ","16.50"," "," "," "," ","137.90"," ","Deficit","Final"
"18/12/2024 19:00 - 18/12/2024 20:00","SCA|DK2","16.50"," "," "," ","16.50"," "," "," "," ","154.00"," ","Deficit","Final"
"18/12/2024 20:00 - 18/12/2024 21:00","SCA|DK2","16.50"," "," "," ","16.50"," "," "," "," ","191.70"," ","Deficit","Final"
"18/12/2024 21:00 - 18/12/2024 22:00","SCA|DK2","17.00"," "," "," ","17.00"," "," "," "," ","258.70"," ","Deficit","Final"
"18/12/2024 22:00 - 18/12/2024 23:00","SCA|DK2","10.00"," "," "," ","10.00"," "," "," "," ","232.20"," ","Deficit","Final"
"18/12/2024 23:00 - 19/12/2024 00:00","SCA|DK2","-1.50"," "," "," ","-1.50"," "," "," "," ","419.80"," ","Deficit","Final"
"19/12/2024 00:00 - 19/12/2024 01:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","620.30"," ","Deficit","Final"
"19/12/2024 01:00 - 19/12/2024 02:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","387.60"," ","Deficit","Final"
"19/12/2024 02:00 - 19/12/2024 03:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","295.80"," ","Deficit","Final"
"19/12/2024 03:00 - 19/12/2024 04:00","SCA|DK2","-2.00"," "," "," ","-2.00"," "," "," "," ","337.90"," ","Deficit","Final"
"19/12/2024 04:00 - 19/12/2024 05:00","SCA|DK2","17.00"," "," "," ","17.00"," "," "," "," ","327.80"," ","Deficit","Final"
"19/12/2024 05:00 - 19/12/2024 06:00","SCA|DK2","8.33"," "," "," ","8.33"," "," "," "," ","217.40"," ","Deficit","Final"
"19/12/2024 06:00 - 19/12/2024 07:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","186.20"," ","Deficit","Final"
"19/12/2024 07:00 - 19/12/2024 08:00","SCA|DK2","21.00"," "," "," ","21.00"," "," "," "," ","129.80"," ","Deficit","Final"
"19/12/2024 08:00 - 19/12/2024 09:00","SCA|DK2","20.11"," "," "," ","20.11"," "," "," "," ","135.70"," ","Deficit","Final"
"19/12/2024 09:00 - 19/12/2024 10:00","SCA|DK2","146.94"," "," "," ","146.94"," "," "," "," ","107.30"," ","Deficit","Final"
"19/12/2024 10:00 - 19/12/2024 11:00","SCA|DK2","58.06"," "," "," ","58.06"," "," "," "," ","143.20"," ","Deficit","Final"
"19/12/2024 11:00 - 19/12/2024 12:00","SCA|DK2","37.78"," "," "," ","37.78"," "," "," "," ","65.00"," ","Deficit","Final"
"19/12/2024 12:00 - 19/12/2024 13:00","SCA|DK2","402.11"," "," "," ","402.11"," "," "," "," ","7.20"," ","Deficit","Final"
"19/12/2024 13:00 - 19/12/2024 14:00","SCA|DK2","34.00"," "," "," ","34.00"," "," "," "," ","194.70"," ","Deficit","Final"
"19/12/2024 14:00 - 19/12/2024 15:00","SCA|DK2","38.00"," "," "," ","38.00"," "," "," "," ","123.70"," ","Deficit","Final"
"19/12/2024 15:00 - 19/12/2024 16:00","SCA|DK2","38.00"," "," "," ","38.00"," "," "," "," ","62.60"," ","Deficit","Final"
"19/12/2024 16:00 - 19/12/2024 17:00","SCA|DK2","39.00"," "," "," ","39.00"," "," "," "," ","129.50"," ","Deficit","Final"
"19/12/2024 17:00 - 19/12/2024 18:00","SCA|DK2","45.82"," "," "," ","45.82"," "," "," "," ","181.60"," ","Deficit","Final"
"19/12/2024 18:00 - 19/12/2024 19:00","SCA|DK2","71.18"," "," "," ","71.18"," "," "," "," ","329.30"," ","Deficit","Final"
"19/12/2024 19:00 - 19/12/2024 20:00","SCA|DK2","66.05"," "," "," ","66.05"," "," "," "," ","101.50"," ","Deficit","Final"
"19/12/2024 20:00 - 19/12/2024 21:00","SCA|DK2","38.00"," "," "," ","38.00"," "," "," "," ","98.00"," ","Deficit","Final"
"19/12/2024 21:00 - 19/12/2024 22:00","SCA|DK2","37.50"," "," "," ","37.50"," "," "," "," ","98.50"," ","Deficit","Final"
"19/12/2024 22:00 - 19/12/2024 23:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","260.70"," ","Deficit","Final"
"19/12/2024 23:00 - 20/12/2024 00:00","SCA|DK2","3.00"," "," "," ","3.00"," "," "," "," ","342.50"," ","Deficit","Final"
"20/12/2024 00:00 - 20/12/2024 01:00","SCA|DK2","3.00"," "," "," ","3.00"," "," "," "," ","142.50"," ","Deficit","Final"
"20/12/2024 01:00 - 20/12/2024 02:00","SCA|DK2","16.31"," "," "," ","16.31"," "," "," "," ","41.90"," ","Deficit","Final"
"20/12/2024 02:00 - 20/12/2024 03:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","69.30"," ","Deficit","Final"
"20/12/2024 03:00 - 20/12/2024 04:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","31.80"," ","Deficit","Final"
"20/12/2024 04:00 - 20/12/2024 05:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","38.20"," ","Deficit","Final"
"20/12/2024 05:00 - 20/12/2024 06:00","SCA|DK2","26.89"," "," "," ","26.89"," "," "," "," ","107.50"," ","Deficit","Final"
"20/12/2024 06:00 - 20/12/2024 07:00","SCA|DK2","33.00"," "," "," ","33.00"," "," "," "," ","75.40"," ","Deficit","Final"
"20/12/2024 07:00 - 20/12/2024 08:00","SCA|DK2","268.00"," "," "," ","268.00"," "," "," "," ","10.90"," ","Surplus","Final"
"20/12/2024 08:00 - 20/12/2024 09:00","SCA|DK2","33.39"," "," "," ","33.39"," "," "," "," ","145.60"," ","Deficit","Final"
"20/12/2024 09:00 - 20/12/2024 10:00","SCA|DK2","32.45"," "," "," ","32.45"," "," "," "," ","362.20"," ","Deficit","Final"
"20/12/2024 10:00 - 20/12/2024 11:00","SCA|DK2","33.22"," "," "," ","33.22"," "," "," "," ","352.00"," ","Deficit","Final"
"20/12/2024 11:00 - 20/12/2024 12:00","SCA|DK2","33.81"," "," "," ","33.81"," "," "," "," ","468.40"," ","Deficit","Final"
"20/12/2024 12:00 - 20/12/2024 13:00","SCA|DK2","33.49"," "," "," ","33.49"," "," "," "," ","381.30"," ","Deficit","Final"
"20/12/2024 13:00 - 20/12/2024 14:00","SCA|DK2","36.72"," "," "," ","36.72"," "," "," "," ","348.80"," ","Deficit","Final"
"20/12/2024 14:00 - 20/12/2024 15:00","SCA|DK2","45.00"," "," "," ","45.00"," "," "," "," ","185.70"," ","Deficit","Final"
"20/12/2024 15:00 - 20/12/2024 16:00","SCA|DK2","71.92"," "," "," ","71.92"," "," "," "," ","8.20"," ","Surplus","Final"
"20/12/2024 16:00 - 20/12/2024 17:00","SCA|DK2","87.88"," "," "," ","87.88"," "," "," "," ","75.30"," ","Deficit","Final"
"20/12/2024 17:00 - 20/12/2024 18:00","SCA|DK2","78.12"," "," "," ","78.12"," "," "," "," ","133.50"," ","Deficit","Final"
"20/12/2024 18:00 - 20/12/2024 19:00","SCA|DK2","49.20"," "," "," ","49.20"," "," "," "," ","24.60"," ","Surplus","Final"
"20/12/2024 19:00 - 20/12/2024 20:00","SCA|DK2","40.50"," "," "," ","40.50"," "," "," "," ","128.20"," ","Deficit","Final"
"20/12/2024 20:00 - 20/12/2024 21:00","SCA|DK2","39.50"," "," "," ","39.50"," "," "," "," ","179.00"," ","Deficit","Final"
"20/12/2024 21:00 - 20/12/2024 22:00","SCA|DK2","37.50"," "," "," ","37.50"," "," "," "," ","166.40"," ","Deficit","Final"
"20/12/2024 22:00 - 20/12/2024 23:00","SCA|DK2","32.50"," "," "," ","32.50"," "," "," "," ","22.10"," ","Deficit","Final"
"20/12/2024 23:00 - 21/12/2024 00:00","SCA|DK2","28.00"," "," "," ","28.00"," "," "," "," ","50.60"," ","Surplus","Final"
"21/12/2024 00:00 - 21/12/2024 01:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","86.50"," ","Deficit","Final"
"21/12/2024 01:00 - 21/12/2024 02:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","311.00"," ","Deficit","Final"
"21/12/2024 02:00 - 21/12/2024 03:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","160.70"," ","Deficit","Final"
"21/12/2024 03:00 - 21/12/2024 04:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","303.00"," ","Deficit","Final"
"21/12/2024 04:00 - 21/12/2024 05:00","SCA|DK2","10.00"," "," "," ","10.00"," "," "," "," ","203.50"," ","Deficit","Final"
"21/12/2024 05:00 - 21/12/2024 06:00","SCA|DK2","5.82"," "," "," ","5.82"," "," "," "," ","492.40"," ","Deficit","Final"
"21/12/2024 06:00 - 21/12/2024 07:00","SCA|DK2","11.00"," "," "," ","11.00"," "," "," "," ","409.40"," ","Deficit","Final"
"21/12/2024 07:00 - 21/12/2024 08:00","SCA|DK2","17.16"," "," "," ","17.16"," "," "," "," ","170.30"," ","Deficit","Final"
"21/12/2024 08:00 - 21/12/2024 09:00","SCA|DK2","21.00"," "," "," ","21.00"," "," "," "," ","5.60"," ","Deficit","Final"
"21/12/2024 09:00 - 21/12/2024 10:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","166.20"," ","Deficit","Final"
"21/12/2024 10:00 - 21/12/2024 11:00","SCA|DK2","17.50"," "," "," ","17.50"," "," "," "," ","288.20"," ","Deficit","Final"
"21/12/2024 11:00 - 21/12/2024 12:00","SCA|DK2","15.50"," "," "," ","15.50"," "," "," "," ","371.40"," ","Deficit","Final"
"21/12/2024 12:00 - 21/12/2024 13:00","SCA|DK2","15.50"," "," "," ","15.50"," "," "," "," ","375.80"," ","Deficit","Final"
"21/12/2024 13:00 - 21/12/2024 14:00","SCA|DK2","17.50"," "," "," ","17.50"," "," "," "," ","102.40"," ","Deficit","Final"
"21/12/2024 14:00 - 21/12/2024 15:00","SCA|DK2","17.50"," "," "," ","17.50"," "," "," "," ","63.50"," ","Deficit","Final"
"21/12/2024 15:00 - 21/12/2024 16:00","SCA|DK2","20.50"," "," "," ","20.50"," "," "," "," ","276.00"," ","Deficit","Final"
"21/12/2024 16:00 - 21/12/2024 17:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","95.70"," ","Deficit","Final"
"21/12/2024 17:00 - 21/12/2024 18:00","SCA|DK2","28.00"," "," "," ","28.00"," "," "," "," ","187.30"," ","Deficit","Final"
"21/12/2024 18:00 - 21/12/2024 19:00","SCA|DK2","17.50"," "," "," ","17.50"," "," "," "," ","398.00"," ","Deficit","Final"
"21/12/2024 19:00 - 21/12/2024 20:00","SCA|DK2","10.00"," "," "," ","10.00"," "," "," "," ","653.00"," ","Deficit","Final"
"21/12/2024 20:00 - 21/12/2024 21:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","236.10"," ","Deficit","Final"
"21/12/2024 21:00 - 21/12/2024 22:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","7.60"," ","Surplus","Final"
"21/12/2024 22:00 - 21/12/2024 23:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","96.80"," ","Deficit","Final"
"21/12/2024 23:00 - 22/12/2024 00:00","SCA|DK2","1.98"," "," "," ","1.98"," "," "," "," ","71.10"," ","Surplus","Final"
"22/12/2024 00:00 - 22/12/2024 01:00","SCA|DK2","1.58"," "," "," ","1.58"," "," "," "," ","228.50"," ","Surplus","Final"
"22/12/2024 01:00 - 22/12/2024 02:00","SCA|DK2","0.66"," "," "," ","0.66"," "," "," "," ","112.50"," ","Surplus","Final"
"22/12/2024 02:00 - 22/12/2024 03:00","SCA|DK2","0.00"," "," "," ","0.00"," "," "," "," ","48.00"," ","Deficit","Final"
"22/12/2024 03:00 - 22/12/2024 04:00","SCA|DK2","-0.90"," "," "," ","-0.90"," "," "," "," ","115.00"," ","Surplus","Final"
"22/12/2024 04:00 - 22/12/2024 05:00","SCA|DK2","0.00"," "," "," ","0.00"," "," "," "," ","160.90"," ","Surplus","Final"
"22/12/2024 05:00 - 22/12/2024 06:00","SCA|DK2","0.33"," "," "," ","0.33"," "," "," "," ","122.20"," ","Surplus","Final"
"22/12/2024 06:00 - 22/12/2024 07:00","SCA|DK2","2.50"," "," "," ","2.50"," "," "," "," ","476.30"," ","Surplus","Final"
"22/12/2024 07:00 - 22/12/2024 08:00","SCA|DK2","3.00"," "," "," ","3.00"," "," "," "," ","538.90"," ","Surplus","Final"
"22/12/2024 08:00 - 22/12/2024 09:00","SCA|DK2","17.19"," "," "," ","17.19"," "," "," "," ","266.10"," ","Surplus","Final"
"22/12/2024 09:00 - 22/12/2024 10:00","SCA|DK2","19.00"," "," "," ","19.00"," "," "," "," ","258.60"," ","Surplus","Final"
"22/12/2024 10:00 - 22/12/2024 11:00","SCA|DK2","21.44"," "," "," ","21.44"," "," "," "," ","136.00"," ","Surplus","Final"
"22/12/2024 11:00 - 22/12/2024 12:00","SCA|DK2","21.19"," "," "," ","21.19"," "," "," "," ","154.10"," ","Surplus","Final"
"22/12/2024 12:00 - 22/12/2024 13:00","SCA|DK2","21.39"," "," "," ","21.39"," "," "," "," ","14.40"," ","Deficit","Final"
"22/12/2024 13:00 - 22/12/2024 14:00","SCA|DK2","100.15"," "," "," ","100.15"," "," "," "," ","93.40"," ","Deficit","Final"
"22/12/2024 14:00 - 22/12/2024 15:00","SCA|DK2","26.00"," "," "," ","26.00"," "," "," "," ","209.10"," ","Deficit","Final"
"22/12/2024 15:00 - 22/12/2024 16:00","SCA|DK2","26.50"," "," "," ","26.50"," "," "," "," ","223.30"," ","Deficit","Final"
"22/12/2024 16:00 - 22/12/2024 17:00","SCA|DK2","231.38"," "," "," ","231.38"," "," "," "," ","87.00"," ","Deficit","Final"
"22/12/2024 17:00 - 22/12/2024 18:00","SCA|DK2","26.81"," "," "," ","26.81"," "," "," "," ","134.70"," ","Deficit","Final"
"22/12/2024 18:00 - 22/12/2024 19:00","SCA|DK2","134.00"," "," "," ","134.00"," "," "," "," ","30.90"," ","Deficit","Final"
"22/12/2024 19:00 - 22/12/2024 20:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","165.40"," ","Deficit","Final"
"22/12/2024 20:00 - 22/12/2024 21:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","124.30"," ","Deficit","Final"
"22/12/2024 21:00 - 22/12/2024 22:00","SCA|DK2","26.00"," "," "," ","26.00"," "," "," "," ","59.60"," ","Deficit","Final"
"22/12/2024 22:00 - 22/12/2024 23:00","SCA|DK2","21.50"," "," "," ","21.50"," "," "," "," ","263.70"," ","Deficit","Final"
"22/12/2024 23:00 - 23/12/2024 00:00","SCA|DK2","19.50"," "," "," ","19.50"," "," "," "," ","383.90"," ","Deficit","Final"
"23/12/2024 00:00 - 23/12/2024 01:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","439.80"," ","Deficit","Final"
"23/12/2024 01:00 - 23/12/2024 02:00","SCA|DK2","14.18"," "," "," ","14.18"," "," "," "," ","296.20"," ","Deficit","Final"
"23/12/2024 02:00 - 23/12/2024 03:00","SCA|DK2","9.25"," "," "," ","9.25"," "," "," "," ","47.40"," ","Deficit","Final"
"23/12/2024 03:00 - 23/12/2024 04:00","SCA|DK2","6.47"," "," "," ","6.47"," "," "," "," ","107.90"," ","Deficit","Final"
"23/12/2024 04:00 - 23/12/2024 05:00","SCA|DK2","10.00"," "," "," ","10.00"," "," "," "," ","27.60"," ","Deficit","Final"
"23/12/2024 05:00 - 23/12/2024 06:00","SCA|DK2","20.70"," "," "," ","20.70"," "," "," "," ","85.30"," ","Surplus","Final"
"23/12/2024 06:00 - 23/12/2024 07:00","SCA|DK2","22.00"," "," "," ","22.00"," "," "," "," ","423.10"," ","Deficit","Final"
"23/12/2024 07:00 - 23/12/2024 08:00","SCA|DK2","24.00"," "," "," ","24.00"," "," "," "," ","463.10"," ","Deficit","Final"
"23/12/2024 08:00 - 23/12/2024 09:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","530.60"," ","Deficit","Final"
"23/12/2024 09:00 - 23/12/2024 10:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","338.80"," ","Deficit","Final"
"23/12/2024 10:00 - 23/12/2024 11:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","278.00"," ","Deficit","Final"
"23/12/2024 11:00 - 23/12/2024 12:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","317.30"," ","Deficit","Final"
"23/12/2024 12:00 - 23/12/2024 13:00","SCA|DK2","27.00"," "," "," ","27.00"," "," "," "," ","365.20"," ","Deficit","Final"
"23/12/2024 13:00 - 23/12/2024 14:00","SCA|DK2","28.50"," "," "," ","28.50"," "," "," "," ","501.80"," ","Deficit","Final"
"23/12/2024 14:00 - 23/12/2024 15:00","SCA|DK2","32.50"," "," "," ","32.50"," "," "," "," ","519.20"," ","Deficit","Final"
"23/12/2024 15:00 - 23/12/2024 16:00","SCA|DK2","82.56"," "," "," ","82.56"," "," "," "," ","347.70"," ","Deficit","Final"
"23/12/2024 16:00 - 23/12/2024 17:00","SCA|DK2","98.25"," "," "," ","98.25"," "," "," "," ","428.40"," ","Deficit","Final"
"23/12/2024 17:00 - 23/12/2024 18:00","SCA|DK2","48.00"," "," "," ","48.00"," "," "," "," ","248.40"," ","Deficit","Final"
"23/12/2024 18:00 - 23/12/2024 19:00","SCA|DK2","39.54"," "," "," ","39.54"," "," "," "," ","264.10"," ","Deficit","Final"
"23/12/2024 19:00 - 23/12/2024 20:00","SCA|DK2","92.60"," "," "," ","92.60"," "," "," "," ","188.30"," ","Deficit","Final"
"23/12/2024 20:00 - 23/12/2024 21:00","SCA|DK2","40.00"," "," "," ","40.00"," "," "," "," ","72.00"," ","Deficit","Final"
"23/12/2024 21:00 - 23/12/2024 22:00","SCA|DK2","40.00"," "," "," ","40.00"," "," "," "," ","31.40"," ","Deficit","Final"
"23/12/2024 22:00 - 23/12/2024 23:00","SCA|DK2","39.71"," "," "," ","39.71"," "," "," "," ","103.00"," ","Deficit","Final"
"23/12/2024 23:00 - 24/12/2024 00:00","SCA|DK2","86.03"," "," "," ","86.03"," "," "," "," ","71.30"," ","Deficit","Final"
"24/12/2024 00:00 - 24/12/2024 01:00","SCA|DK2","134.07"," "," "," ","134.07"," "," "," "," ","0.20"," ","Surplus","Final"
"24/12/2024 01:00 - 24/12/2024 02:00","SCA|DK2","81.89"," "," "," ","81.89"," "," "," "," ","119.70"," ","Deficit","Final"
"24/12/2024 02:00 - 24/12/2024 03:00","SCA|DK2","120.53"," "," "," ","120.53"," "," "," "," ","44.60"," ","Deficit","Final"
"24/12/2024 03:00 - 24/12/2024 04:00","SCA|DK2","153.56"," "," "," ","153.56"," "," "," "," ","50.70"," ","Deficit","Final"
